"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.561379375E0,-2.791694641E-1,4.768184509E0,2.119502472E1
7.581471375E0,-7.164102173E-1,3.872447205E0,2.268038589E1
7.601563375E0,-1.794917450E0,2.512974243E0,2.057621155E1
7.621655375E0,-2.435136108E0,2.237247620E0,1.683444260E1
7.641747375E0,-2.620301056E0,3.273093567E0,1.367810623E1
7.661839375E0,-2.072889404E0,3.918251953E0,1.094972992E1
7.681931375E0,-1.627864838E0,3.654949493E0,8.206384735E0
7.702023375E0,-1.523980865E0,2.943329315E0,6.042933655E0
7.722115375E0,-1.264420624E0,1.944905548E0,4.731660461E0
7.742207375E0,-1.312620392E0,1.170416107E0,3.888014832E0
7.762299375E0,-1.338815918E0,6.950047302E-1,3.655248871E0
7.782391375E0,-9.973759460E-1,6.403683472E-1,3.941603394E0
7.802483375E0,-4.043092346E-1,7.132667542E-1,4.198469238E0
7.822575375E0,3.637435913E-2,5.764512634E-1,3.952830048E0
7.842667375E0,-1.136137390E-1,3.302133179E-1,3.468437347E0
7.862759792E0,-7.626640320E-1,4.694238281E-1,3.603755951E0
7.882850792E0,-1.136137390E0,3.737727356E-1,4.005221100E0
7.902942792E0,-2.779719543E-1,1.279838562E-1,4.687502289E0
7.923034792E0,6.466552734E-2,5.499563599E-1,6.072572021E0
7.943126792E0,-9.740245056E-1,1.804347839E0,7.459138641E0
7.963218792E0,-2.517614594E0,3.334316254E0,9.741592255E0
7.983310792E0,-1.918260956E0,5.241200867E0,1.353051315E1
8.003402792E0,-6.990463257E-2,6.593488770E0,1.506437347E1
8.023494792E0,1.290616150E0,7.685917053E0,1.581057175E1
8.043586792E0,1.411265259E0,6.965016174E0,1.845916397E1
8.063678792E0,2.001338196E-1,3.758983154E0,2.120670044E1
8.083770792E0,-7.752378845E-1,8.813671875E-1,1.961131805E1
8.103862792E0,-1.634151764E0,2.513273621E-1,1.524385025E1
8.123954792E0,-1.480571136E0,1.194066925E0,1.133368149E1
8.144046792E0,-8.647517395E-1,2.659369812E0,8.257727966E0
8.164138792E0,-3.817062378E-2,3.860023041E0,5.631738739E0
8.184230792E0,8.330177307E-1,4.349804535E0,3.530109100E0
8.204322792E0,9.431886292E-1,4.076323242E0,2.634371796E0
8.224414792E0,4.558021545E-1,2.957100677E0,2.714305573E0
8.244506792E0,5.239105225E-3,1.808539124E0,3.189716949E0
