"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.622855208E0,-6.944059753E-1,4.215533752E0,5.628146210E0
6.642851208E0,-9.735754395E-1,4.449646912E0,5.961203613E0
6.662847208E0,-1.228345642E0,4.708458710E0,6.077362061E0
6.682842208E0,-1.366508331E0,5.277126160E0,7.041507111E0
6.702838208E0,-1.102457428E0,6.147715759E0,7.820337524E0
6.722834208E0,-1.031205597E0,6.823111267E0,7.767198029E0
6.742830208E0,-1.335373077E0,7.044949951E0,7.809859314E0
6.762826208E0,-1.327140198E0,7.015760651E0,8.860225067E0
6.782821208E0,-1.183738403E0,6.716532898E0,1.064017365E1
6.802817208E0,-1.129551086E0,6.393504639E0,1.170535858E1
6.822813208E0,-9.210346985E-1,6.710395660E0,1.259885056E1
6.842809208E0,-7.198530579E-1,7.353009338E0,1.159129578E1
6.862805208E0,-1.388063507E0,7.723189545E0,1.029573990E1
6.882800208E0,-1.885329437E0,7.423363037E0,1.131033005E1
6.902796208E0,-1.708547058E0,6.166576538E0,1.286005737E1
6.922792208E0,-1.437909851E0,4.997208252E0,1.317575089E1
6.942788208E0,-1.153800659E0,4.551584930E0,1.175670181E1
6.962783208E0,-9.386979675E-1,4.920867004E0,9.699679413E0
6.982779208E0,-1.037193146E0,5.136418762E0,8.178093567E0
7.002775208E0,-1.411714325E0,4.530927887E0,7.218738556E0
7.022771208E0,-1.688488770E0,3.577560425E0,6.423891449E0
7.042767208E0,-1.936373291E0,2.928959198E0,5.608986053E0
7.062762208E0,-1.951491852E0,2.731819153E0,4.911735992E0
7.082758208E0,-1.537153473E0,2.809507599E0,4.894671478E0
7.102754208E0,-1.473386078E0,2.902164917E0,5.419330444E0
7.122750208E0,-1.619931335E0,2.736609192E0,5.834866333E0
7.142746208E0,-1.858235779E0,2.556533661E0,6.190676422E0
7.162741208E0,-1.541045380E0,2.419568481E0,6.567891998E0
7.182737208E0,-1.121916962E0,2.889890442E0,6.741381226E0
7.202733208E0,-9.497749329E-1,3.770808563E0,6.384373627E0
7.222729208E0,-1.220412140E0,4.172423401E0,6.219716034E0
7.242725208E0,-1.805096283E0,4.200265503E0,6.606661377E0
7.262720208E0,-1.854194183E0,4.276606750E0,7.045698395E0
7.282716208E0,-1.283880157E0,4.650529175E0,7.257507935E0
7.302712208E0,-1.055006104E0,5.237458649E0,7.286397858E0
7.322708208E0,-9.668394470E-1,5.345982971E0,6.994055786E0
7.342703208E0,-2.042951660E0,5.588778076E0,7.177574158E0
7.362699208E0,-3.014581146E0,5.672753448E0,9.380243683E0
7.382695208E0,-2.189496918E0,4.423152008E0,1.253104156E1
7.402691208E0,-1.031355286E0,3.305126953E0,1.419722672E1
7.422687375E0,-1.458866272E0,3.900139618E0,1.292517197E1
7.442682375E0,-1.482966156E0,5.165907440E0,1.113235016E1
7.462678375E0,-1.493893433E-1,5.842350769E0,1.129820526E1
7.482674375E0,8.246351624E-1,5.479355621E0,1.245589783E1
7.502670375E0,3.342549133E-1,4.741689606E0,1.260259277E1
