"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.498486833E0,1.031205597E0,3.186423798E0,1.266531235E1
7.518482833E0,1.251846771E0,3.513194275E0,1.280781601E1
7.538478833E0,1.500779114E0,3.367397461E0,1.310779221E1
7.558473833E0,1.772314453E0,2.812501373E0,1.297576675E1
7.578469833E0,1.658251648E0,2.354453888E0,1.220771393E1
7.598465833E0,1.529369659E0,1.869612122E0,1.098879868E1
7.618461833E0,1.214274902E0,1.654359741E0,9.270821228E0
7.638456833E0,9.430389404E-1,2.073937225E0,7.980055389E0
7.658452833E0,8.309220886E-1,2.379152527E0,7.322921906E0
7.678448833E0,4.186793518E-1,2.492915955E0,6.831942902E0
7.698444833E0,5.144801331E-1,2.464774475E0,6.678212585E0
7.718439833E0,9.220825195E-1,2.392175446E0,7.157216492E0
7.738435833E0,1.064735870E0,2.229613495E0,7.893834686E0
7.758431833E0,1.019529877E0,1.936972046E0,8.136031036E0
7.778426833E0,8.860075378E-1,1.710493011E0,8.001161499E0
7.798422833E0,7.505392456E-1,1.736987915E0,7.466623077E0
7.818418833E0,7.512876892E-1,1.935924225E0,7.015760651E0
7.838414833E0,8.936416626E-1,2.124382324E0,6.756799164E0
7.858409833E0,1.093176727E0,2.394420776E0,6.403084717E0
7.878405833E0,9.783654785E-1,2.790048065E0,6.867269440E0
7.898401833E0,1.141825562E0,2.462080078E0,7.824229431E0
7.918397833E0,1.035546570E0,1.853146362E0,8.518934784E0
7.938392833E0,8.550219727E-1,1.667232971E0,9.109606476E0
7.958388833E0,6.569837952E-1,1.783241730E0,8.985065460E0
7.978384833E0,5.938151550E-1,2.123484192E0,8.824000397E0
7.998379958E0,1.044378204E0,2.156415710E0,9.290879517E0
8.018375958E0,1.589993591E0,1.996847534E0,1.058598633E1
8.038371958E0,2.036814423E0,1.686243439E0,1.191986252E1
8.058367958E0,2.249222717E0,1.293011169E0,1.235530701E1
8.078362958E0,2.661914520E0,1.428479462E0,1.214229996E1
8.098358958E0,3.201392670E0,2.010768585E0,1.230111969E1
8.118354958E0,3.663332062E0,2.066752167E0,1.224887833E1
8.138349958E0,3.626508636E0,1.810185699E0,1.206431213E1
8.158345958E0,3.589086456E0,1.664089508E0,1.195623688E1
